epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.565,0,72.4346,0,0.00028,0.09725,0.00016,4e-05,4.2314,8.63315,3.78425,0.00066373,0.00066373,0.00066373
2,706.744,0,18.7599,0,0,0,0,0,4.31098,4.74699,3.90385,0.00130405,0.00130405,0.00130405
3,980.196,0,1.03323,0,0,0,0,0,4.09401,6.74678,3.66334,0.00191798,0.00191798,0.00191798
4,1245.81,0,0.00658,0,0,0,0,0,4.17059,7.87743,4.10308,0.0018812,0.0018812,0.0018812
5,1515.1,0,6e-05,0,0,0,0,0,4.22865,8.10269,3.71713,0.0018416,0.0018416,0.0018416
6,1795.94,0,0,0,0,0,0,0,4.2119,8.27741,3.70581,0.001802,0.001802,0.001802
7,2493.38,0,0,0,0,0,0,0,4.20571,8.42014,3.69508,0.0017624,0.0017624,0.0017624
8,2762.12,0,0,0,0,0,0,0,4.19917,8.53133,3.68969,0.0017228,0.0017228,0.0017228
9,3039.9,0,0,0,0,0,0,0,4.20501,8.62649,3.69572,0.0016832,0.0016832,0.0016832
10,3319.38,0,0,0,0,0,0,0,4.19642,8.71186,3.69097,0.0016436,0.0016436,0.0016436
11,3613.05,0,0,0,0,0,0,0,4.194,8.79658,3.69206,0.001604,0.001604,0.001604
