                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6545,                 2.4721,                 2.3347,                0.85645,                0.49315,                0.49138,                0.29735,                  1.084,                 1.7812,                  1.944,              0.0005534,              0.0005534,              0.0005534
                      2,                0.67704,                 1.1445,                 1.3966,                 0.4628,                0.97705,                 0.5088,                0.46095,                0.46366,                 1.0791,                 1.0717,              0.0010981,              0.0010981,              0.0010981
                      3,                 0.4471,                0.95749,                 1.1548,                 0.4708,                0.98962,                 0.5058,                0.48853,                0.32411,                0.88532,                0.62486,              0.0016318,              0.0016318,              0.0016318
                      4,                0.33826,                0.87454,                 1.0612,                0.48738,                      1,                0.51512,                0.51219,                0.21294,                0.81135,                0.39401,              0.0016175,              0.0016175,              0.0016175
                      5,                0.27948,                0.83437,                 1.0191,                0.46117,                0.99667,                0.50324,                0.47819,                0.29459,                0.81349,                0.43422,               0.001601,               0.001601,               0.001601
                      6,                0.23394,                0.80587,                0.98883,                0.46061,                0.99861,                0.50739,                0.49849,                0.28809,                0.83769,                0.43857,              0.0015845,              0.0015845,              0.0015845
                      7,                0.20277,                0.76936,                0.96985,                0.45861,                0.99543,                0.50276,                 0.4868,                0.28749,                0.83752,                0.36742,               0.001568,               0.001568,               0.001568
                      8,                0.18539,                0.75292,                0.95393,                0.48743,                      1,                0.49882,                0.48741,                0.17202,                0.77348,                0.23846,              0.0015515,              0.0015515,              0.0015515
                      9,                0.16124,                0.73359,                0.94079,                0.47129,                      1,                0.51297,                0.49599,                0.22337,                  0.824,                0.26913,               0.001535,               0.001535,               0.001535
                     10,                0.15501,                 0.7271,                0.93541,                0.45368,                 0.9928,                0.51013,                0.48053,                0.19119,                0.75537,                0.26063,              0.0015185,              0.0015185,              0.0015185
                     11,                0.15533,                0.73614,                0.94103,                0.47191,                0.99737,                0.50651,                0.49822,                0.18537,                0.70986,                0.24024,               0.001502,               0.001502,               0.001502
                     12,                0.13941,                0.71694,                0.92866,                 0.4574,                0.98892,                0.50773,                0.45426,                0.25529,                0.76671,                0.26072,              0.0014855,              0.0014855,              0.0014855
                     13,                0.13409,                0.71345,                  0.927,                   0.49,                0.99806,                0.50814,                0.50729,                0.21913,                0.76582,                0.24799,               0.001469,               0.001469,               0.001469
                     14,                0.13828,                0.71731,                0.92122,                 0.4789,                      1,                0.51602,                0.48567,                0.21355,                0.71092,                0.28182,              0.0014525,              0.0014525,              0.0014525
                     15,                0.12427,                0.70656,                0.92112,                0.45669,                0.99806,                0.49987,                0.46973,                0.17254,                0.74591,                0.20479,               0.001436,               0.001436,               0.001436
                     16,                0.11583,                0.69522,                0.91365,                0.47096,                0.99931,                0.51225,                0.50264,                0.18739,                0.71217,                0.26367,              0.0014195,              0.0014195,              0.0014195
                     17,                0.11062,                 0.6919,                0.91635,                 0.4926,                      1,                0.51301,                0.51011,                0.17688,                0.66783,                0.23411,              0.0014029,              0.0014029,              0.0014029
